,Sdate,Cosit,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,AvgSpeed,PmlHGV,Class1Volume,Class2Volume,Class3Volume,Class4Volume,Class5Volume,Class6Volume,day_of_week,hours
0,01/02/18 00:00,1083,1,NB_NS,1,North,80,0,,15837,100,2,69,1,8,0,0,4,0
1,01/02/18 00:00,1083,2,NB_MID,1,North,104,0,,16651,106,2,91,0,6,5,0,4,0
2,01/02/18 00:00,1083,3,NB_OS,1,North,19,0,,16023,0,0,19,0,0,0,0,4,0
3,01/02/18 00:00,1083,4,SB_OS,2,South,29,0,,17672,0,3,26,0,0,0,0,4,0
4,01/02/18 00:00,1083,5,SB_MID,2,South,97,0,,18004,10,1,95,0,1,0,0,4,0
5,01/02/18 00:00,1083,6,SB_NS,2,South,101,0,,16227,69,0,94,0,5,2,0,4,0
6,01/02/18 01:00,1083,1,NB_NS,1,North,53,0,,16336,75,0,49,0,3,1,0,4,1
7,01/02/18 01:00,1083,2,NB_MID,1,North,60,0,,17370,50,0,57,0,3,0,0,4,1
8,01/02/18 01:00,1083,3,NB_OS,1,North,8,0,,16563,0,0,8,0,0,0,0,4,1
9,01/02/18 01:00,1083,4,SB_OS,2,South,10,0,,16306,100,1,8,0,1,0,0,4,1
10,01/02/18 01:00,1083,5,SB_MID,2,South,44,0,,17671,23,0,43,0,1,0,0,4,1
11,01/02/18 01:00,1083,6,SB_NS,2,South,56,0,,16300,107,1,49,0,3,3,0,4,1
12,01/02/18 02:00,1083,1,NB_NS,1,North,28,0,,16280,250,0,21,0,4,3,0,4,2
13,01/02/18 02:00,1083,2,NB_MID,1,North,42,0,,16832,143,0,35,0,3,3,1,4,2
14,01/02/18 02:00,1083,3,NB_OS,1,North,3,0,,17222,0,0,3,0,0,0,0,4,2
15,01/02/18 02:00,1083,4,SB_OS,2,South,9,0,,17160,111,1,7,0,1,0,0,4,2
16,01/02/18 02:00,1083,5,SB_MID,2,South,25,0,,17489,40,0,24,0,1,0,0,4,2
17,01/02/18 02:00,1083,6,SB_NS,2,South,45,0,,16043,133,1,38,0,5,1,0,4,2
18,01/02/18 03:00,1083,1,NB_NS,1,North,51,0,,17195,137,0,44,0,4,3,0,4,3
19,01/02/18 03:00,1083,2,NB_MID,1,North,26,0,,16934,192,0,20,0,2,3,1,4,3
20,01/02/18 03:00,1083,3,NB_OS,1,North,8,0,,15972,0,0,8,0,0,0,0,4,3
21,01/02/18 03:00,1083,4,SB_OS,2,South,15,0,,16685,0,0,15,0,0,0,0,4,3
22,01/02/18 03:00,1083,5,SB_MID,2,South,35,0,,17722,114,0,31,0,4,0,0,4,3
23,01/02/18 03:00,1083,6,SB_NS,2,South,59,0,,17076,68,0,55,0,2,2,0,4,3
24,01/02/18 04:00,1083,1,NB_NS,1,North,67,0,,16725,224,0,52,0,7,8,0,4,4
25,01/02/18 04:00,1083,2,NB_MID,1,North,60,0,,16903,83,1,54,0,4,1,0,4,4
26,01/02/18 04:00,1083,3,NB_OS,1,North,19,0,,16857,0,0,19,0,0,0,0,4,4
27,01/02/18 04:00,1083,4,SB_OS,2,South,8,0,,17674,125,0,7,0,1,0,0,4,4
28,01/02/18 04:00,1083,5,SB_MID,2,South,48,0,,18594,21,0,47,0,1,0,0,4,4
29,01/02/18 04:00,1083,6,SB_NS,2,South,60,0,,16912,50,2,55,0,1,2,0,4,4
30,01/02/18 05:00,1083,1,NB_NS,1,North,186,0,,16217,54,1,172,0,7,3,3,4,5
31,01/02/18 05:00,1083,2,NB_MID,1,North,163,0,,16512,67,2,148,1,7,4,1,4,5
32,01/02/18 05:00,1083,3,NB_OS,1,North,67,0,,18731,15,0,66,0,1,0,0,4,5
33,01/02/18 05:00,1083,4,SB_OS,2,South,56,0,,16662,36,4,49,0,2,0,1,4,5
34,01/02/18 05:00,1083,5,SB_MID,2,South,107,0,,17474,37,6,97,0,3,1,0,4,5
35,01/02/18 05:00,1083,6,SB_NS,2,South,136,0,,17132,66,7,120,0,6,3,0,4,5
36,01/02/18 06:00,1083,1,NB_NS,1,North,343,0,,14947,50,1,315,0,16,1,10,4,6
37,01/02/18 06:00,1083,2,NB_MID,1,North,511,0,,15284,33,5,489,0,16,1,0,4,6
38,01/02/18 06:00,1083,3,NB_OS,1,North,420,0,,15632,10,1,415,0,4,0,0,4,6
39,01/02/18 06:00,1083,4,SB_OS,2,South,214,0,,17126,9,12,200,0,2,0,0,4,6
40,01/02/18 06:00,1083,5,SB_MID,2,South,265,0,,17265,38,10,244,0,9,1,1,4,6
41,01/02/18 06:00,1083,6,SB_NS,2,South,396,0,,16736,86,4,355,0,28,6,3,4,6
42,01/02/18 07:00,1083,1,NB_NS,1,North,827,0,,11091,28,7,783,1,21,2,13,4,7
43,01/02/18 07:00,1083,2,NB_MID,1,North,1097,0,,9314,24,8,1060,1,24,2,2,4,7
44,01/02/18 07:00,1083,3,NB_OS,1,North,1124,0,,9381,36,1,1077,1,39,1,5,4,7
45,01/02/18 07:00,1083,4,SB_OS,2,South,560,0,,15389,7,10,546,0,4,0,0,4,7
46,01/02/18 07:00,1083,5,SB_MID,2,South,575,0,,15062,38,30,521,2,21,1,0,4,7
47,01/02/18 07:00,1083,6,SB_NS,2,South,954,0,,14843,35,7,902,0,30,3,12,4,7
